Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change,Next_Days_Change
FB,0.000154511,12195.08974,951217,195.22,0.013779326,194.61175,194.8059,198.21586,0.017144134,0.014535289,-0.008415674,-0.002715751
FB,-6.28E-05,7405.294872,577613,198.84,-0.002715751,198.0102,197.69306,196.521265,0.00258724,0.003108556,0.003337298,0.011790568
FB,0.000158543,19320.96154,1507035,200.16,0.011790568,198.74145,198.43358,197.25446,0.021218774,0.023241127,0.013427073,0.016475115
FB,0.000207997,17443.25641,1360574,202.73,0.016475115,203.0115,203.0502,199.96491,0.013711046,0.011157339,0.014406078,-0.005687569
FB,-0.000120988,10419.51282,812722,207.47,-0.005687569,205.9855,205.4002,202.936945,0.002769612,0.005832029,0.010352625,-0.002684337
FB,2.71E-06,15858.54545,1221108,206.755,-0.002684337,206.62485,206.63524,205.07766,-0.00239492,-0.002062862,0.004884223,-0.006705561
FB,-0.000220021,3971.380952,166798,206.545,-0.006705561,206.1585,206.20698,206.096105,-0.001229636,-0.001266591,0.000462042,0.011292285
FB,9.29E-05,11188.5641,872708,205.45,0.011292285,205.891,205.938,206.18283,0.007053489,0.006432519,0.001671211,-0.001031893
FB,-3.87E-05,3978.717949,310340,208.355,-0.001031893,207.41775,207.3184,206.54422,0.004372818,0.003575177,0.003099361,-0.016220639
FB,-0.000211542,5333.794872,416036,207.76,-0.016220639,208.24625,208.0302,207.185825,-0.016540514,-0.014009024,-0.002188977,0.005341828
FB,1.19E-05,4675.397436,364681,204.05,0.005341828,204.77225,205.0983,206.7207,-0.000550612,-0.00284449,-0.005820825,0.01451098
FB,0.00017465,6823.487179,532232,206.74,0.01451098,204.784,204.5647,205.511965,0.020847576,0.019985364,0.002798037,0.006854936
FB,0.000101306,6148.423077,479577,207.15,0.006854936,208.7978,208.61892,206.1309,0.002092694,0.004171146,0.008725669,0.027055754
FB,0.000394324,31238.01282,2436565,206.98,0.027055754,209.17975,209.4557,207.94763,0.012713946,0.008577948,0.009045547,0.001645587
FB,-2.27E-06,11462.07692,894042,212.69,0.001645587,212.26125,211.4767,209.94403,0.003493337,0.009581954,0.008110662,0.010751174
FB,0.000108384,9626.153846,750840,213,0.010751174,213.05035,213.484,211.6837,0.011699816,0.007853984,0.008942091,0.003585547
FB,3.86E-05,7798.487179,608282,217.54,0.003585547,215.81225,215.2703,213.674095,0.009968155,0.010446123,0.008735219,-0.00730525
FB,-8.76E-05,6295.576923,491055,219.705,-0.00730525,218.0945,217.56824,215.594335,4.24E-05,0.004893453,0.008897799,0.01072502
FB,0.000121214,11578.9359,903157,219.58,0.01072502,218.13075,218.6415,217.5371,0.014463802,0.012765738,0.008603728,-0.011506701
FB,-0.000173594,11903.79487,928496,221.61,-0.011506701,221.29625,221.43772,219.48293,-0.007241424,-0.006722522,0.003741293,0.002765562
FB,-2.79E-05,7920.230769,617778,220.57,0.002765562,219.7785,219.9243,220.344155,0.005128118,0.004501367,0.002095926,-0.003145502
FB,-5.83E-05,5535.166667,431743,222.54,-0.003145502,221.0078,220.96896,220.813005,0.001687497,0.001575515,0.000198901,0.000180123
FB,-1.05E-06,17912.38462,1397166,222.07,0.000180123,221.41975,221.3653,220.88195,0.001471188,0.001108123,0.001924286,-0.003330483
FB,-3.83E-05,8998.589744,701890,222.19,-0.003330483,221.7445,221.6433,221.314115,-0.003042917,-0.002127292,-0.000188149,-0.004408655
FB,-7.78E-05,15309.87179,1194170,222.29,-0.004408655,221.21925,221.2274,221.284075,0.003102126,0.003597746,0.00119385,-0.005163043
FB,-3.80E-05,4966.948718,387422,220.8,-0.005163043,221.5301,221.90016,221.52804,-0.005766485,-0.008110945,-0.001811306,-0.012865232
FB,-0.000101971,20010.41026,1560812,220.75,-0.012865232,220.29565,220.12574,221.125535,-0.012997987,-0.010706699,-0.005049982,0.008259033
FB,0.000121946,6747.717949,526322,213.1,0.008259033,217.24875,217.58512,219.9325,-0.00953055,-0.010720494,-0.010737704,0.008145508
FB,0.000107566,10429.75641,813521,216.07,0.008145508,215.17625,215.2625,217.54583,0.01354471,0.012982754,-0.004836912,0.00717509
FB,8.94E-05,14391.5641,1122542,221.6,0.00717509,218.68625,218.3038,216.5495,0.021274772,0.021524499,0.01058818,0.015801464
FB,0.000240749,37471.60256,2922785,206.31,0.015801464,207.1956,213.09708,217.590985,0.012006288,-0.018056465,-0.013714378,-0.031917447
FB,-0.00037059,24686.9359,1925581,208.35,-0.031917447,209.258,209.337,214.127785,-0.035733401,-0.032604365,-0.033796361,0.005317316
FB,4.23E-05,9805.525641,764831,203.11,0.005317316,202.011,202.4656,206.585995,0.009334888,0.006419362,-0.008539519,0.016490302
FB,0.000170499,9196.910256,717359,206.485,0.016490302,204.29725,204.0234,204.710225,0.027890733,0.026923382,0.00389111,-0.010589232
FB,-7.49E-05,7116.202532,562180,212.48,-0.010589232,210.262,209.6634,205.592775,-0.002336371,0.000197459,0.013104546,0.000902013
FB,-8.30E-06,6372.525641,497057,210.64,0.000902013,209.958,209.7167,208.415675,0.002893436,0.004656758,0.008339584,0.008456459
FB,4.73E-05,6553.897436,511204,210.49,0.008456459,210.51775,210.6627,210.165275,0.005741796,0.005889984,0.003082217,0.007280635
FB,1.15E-05,7265.948718,566744,211.52,0.007280635,211.78375,211.8806,210.839925,0.003868333,0.002415511,0.004283676,-0.014085848
