Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change,Next_Days_Change
AAPL,-0.000505375,32633.03846,2545377,179.29,-0.039405433,178.9535,176.153,175.059225,-0.039144247,-0.017007374,-0.002881311,0.007594043
AAPL,0.00010994,17576.16456,1388517,169.87,0.007594043,171.92325,173.0815,174.5431,-0.000761968,-0.009189313,-0.005149444,0.008920607
AAPL,0.000133071,16455.35443,1299973,168.15,0.008920607,171.622,171.469,173.6142,-0.011233991,-0.010547679,-0.015543659,0.006812624
AAPL,-2.98E-06,14657.15385,1143258,171.74,0.006812624,169.9265,169.7554,170.7637,0.015156553,0.011061209,-0.001458595,0.015021955
AAPL,0.000128444,9774.316456,772171,173.08,0.015021955,172.5515,171.666,170.521025,0.012390504,0.016109189,0.009011939,0.001306967
AAPL,-3.49E-05,9961.602564,777005,175.98,0.001306967,174.9175,174.5012,172.1231,0.007959467,0.00958045,0.013505596,0.018119214
AAPL,0.000237272,9714.820513,757756,177.16,0.018119214,176.39175,176.2035,174.5049,0.020026447,0.019359434,0.013856058,-0.004603694
AAPL,-5.42E-05,9277.962025,732959,180.29,-0.004603694,180.0075,179.7587,177.0703,-0.003035985,-0.000980203,0.009575152,0.000752991
AAPL,2.50E-05,6109.269231,476523,179.285,0.000752991,179.4885,179.5711,178.784375,0.00018107,-0.001586001,0.004513957,-0.006850459
AAPL,-4.89E-05,7561.538462,589800,179.55,-0.006850459,179.536,179.2979,179.5936,-0.003379545,-0.00013999,-0.000784132,-0.001236789
AAPL,4.55E-05,7381.74359,575776,177.88,-0.001236789,178.915,179.249,179.4471,-0.006894335,-0.009070065,-0.003586015,0.022543288
AAPL,0.000287353,15362.12658,1213608,177.88,0.022543288,177.81075,177.6587,178.80045,0.023187574,0.024169939,0.004388831,-0.015849552
AAPL,-0.000213897,18887.37179,1473215,182.655,-0.015849552,181.95075,182.0125,179.63255,-0.01089718,-0.012309045,0.003750295,-0.026216186
AAPL,-0.000362696,14105.32911,1114321,179.66,-0.026216186,179.93725,179.7424,180.3226,-0.020612741,-0.012522365,-0.003163497,-0.002377776
AAPL,-3.98E-05,20865.48718,1627508,172.43,-0.002377776,175.56525,177.0644,179.586575,-0.016577882,-0.02349823,-0.017902925,-0.00341
