Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change
AAPL,2.88E-05,63146.16883,4862255,128.23,0.008804492,127.1918,254.07276,440.207865,0.018288915,-0.488284065,-0.322112782
AAPL,0.000182071,39004.59211,2964349,131.81,0.020112283,131.44265,131.11136,201.90846,0.021055951,0.022664093,-0.348868987
AAPL,-4.86E-05,40422.88158,3072139,132.11,-0.00536674,134.29905,135.54698,132.85144,-0.021869477,-0.033246628,0.000591939
AAPL,-0.000489483,61970.54545,4771732,126.09,-0.035768102,127.0312,129.1752,132.21639,-0.048616403,-0.056354625,-0.036433002
AAPL,0.000936438,91516.3662,6497662,113.83,0.054335412,118.07545,118.28506,123.936445,0.026373391,0.011112477,-0.031810336
AAPL,-0.000465379,57603.16438,4205031,117.51,-0.037350013,121.1885,119.6885,119.945335,-0.064999979,-0.041012294,-0.021840491
AAPL,-0.000157099,58817.73239,4176059,117.63,-0.005559806,116.49345,115.07172,116.6295,0.009371772,0.024172751,0.000668656
AAPL,-0.000532394,42982,3094704,118.279,-0.03862055,119.01755,118.19648,116.60506,-0.046311657,-0.029066179,0.001430813
AAPL,9.81E-06,42266.84058,2916412,112.77,-0.006375809,113.46845,113.86946,116.302255,-0.015146501,-0.022120593,-0.017998361
AAPL,3.38E-05,35792.53425,2612855,115.02,0.005303425,114.61785,113.55472,113.444375,0.005012308,0.007935557,-0.001062768
AAPL,-0.000164636,64249.05634,4561683,116.74,-0.011812575,117.79765,117.10732,114.154135,-0.024433,-0.009157241,0.013557547
AAPL,-0.000299676,91051.48649,6737810,114.39,-0.015683189,114.77345,115.13594,115.837955,-0.019017029,-0.017648008,-0.00659296
AAPL,-3.66E-05,50523.87671,3688243,110.159,0.000562823,109.8416,110.38288,113.40732,0.000818451,-0.004790054,-0.016654745
AAPL,-0.000394404,62746.88732,4455029,109.39,-0.021839291,110.14115,110.43224,110.83146,-0.024947079,-0.02940663,-0.014284392
AAPL,0.000544829,38376.66667,2993380,105.34,0.042528954,105.608,105.11582,108.05492,0.039120142,0.029474726,-0.009757399
AAPL,3.62E-05,40097.65714,2806836,111.421,0.001507795,111.6462,111.14082,107.75729,-0.001788686,-0.00276874,0.01512886
AAPL,-0.00034815,36210.75,2607174,110.74,-0.034937692,111.0863,111.35526,110.364075,-0.033591001,-0.02679586,-0.000959234
AAPL,-2.79E-05,43686.77465,3101761,108.18,0.003873174,107.0655,106.50802,109.217215,0.011826872,0.023227734,-0.006775809
AAPL,0.000286288,50267.32394,3568980,109.92,0.023207787,109.0595,108.79214,108.196775,0.02820983,0.023925258,0.012149623
AAPL,9.96E-05,30620.09211,2327127,113.535,0.014145418,114.0381,114.19684,110.897135,0.007574223,0.002377824,0.017658842
AAPL,-3.58E-05,29426.91045,1971603,114.35,-0.001486664,114.4806,114.7518,113.671945,-0.000972654,-0.004908855,0.004928437
AAPL,-2.45E-05,32311.68657,2164883,116.15,-0.005596212,114.9791,114.41658,114.304805,0.008232801,0.016411607,0.00588991
AAPL,2.36E-05,39056.81818,2577750,116.65,0.001028718,117.00975,116.5927,115.340905,-0.00391164,-0.001442457,0.006496871
AAPL,-0.00023896,41871.47826,2889132,115.185,-0.017398099,114.0234,114.27838,115.943915,-0.005124825,-0.004877213,-0.006934775
AAPL,0.000178398,41302.07576,2725937,115,0.01373913,114.37165,113.89194,114.718935,0.014308179,0.016480534,-0.002129727
AAPL,-0.000229075,86927.35616,6345697,115.21,-0.024789515,115.44585,115.76432,114.79854,-0.019021905,-0.011654368,0.001282508
AAPL,5.03E-05,31008.80303,2046581,114.3,0.006999125,114.64995,114.06854,114.910075,0.00522111,0.008884834,-0.002097336
AAPL,-5.42E-05,37133.55072,2562215,115.22,-0.000703003,115.71405,115.70096,114.834835,-0.006427914,-0.005790445,0.002591156
AAPL,0.000116253,38605.93056,2779627,115.97,0.012925757,115.73445,115.33974,115.2946,0.008515615,0.009506351,0.003698786
AAPL,0.000352117,125682.3429,8797764,120.88,0.031510589,120.5368,120.0712,116.772365,0.031582886,0.033908714,0.025207034
AAPL,-0.000365769,70912.27027,5247508,123.755,-0.024281847,123.78485,125.02596,122.131985,-0.019558936,-0.027559556,0.010703994
AAPL,-8.65E-05,55149.28358,3695002,121.72,-0.007237923,121.7676,121.41054,123.232695,-0.004092632,-0.004993306,-0.010754289
AAPL,0.00013555,39622.31818,2615073,119.535,0.009829757,119.4548,119.6739,120.937285,0.010602337,0.005383129,-0.003759924
AAPL,-0.000219395,74719.875,5379831,121.19,-0.018813433,121.1831,121.14374,120.403215,-0.01373954,-0.011096735,-0.00224803
AAPL,-0.000386562,49148.54412,3342101,119.51,-0.024592084,119.70445,119.64614,120.23002,-0.025443499,-0.015837034,-0.006441694
AAPL,0.000121897,50477.48529,3432469,116.88,0.004277892,116.7277,116.74972,118.73754,0.008702305,0.010650989,-0.006006609
AAPL,-0.000107497,36121.60294,2456269,118.24,-0.011324425,117.65635,117.58086,117.654,-0.00138794,-0.002193724,-0.001943368
AAPL,-8.49E-05,55445.85075,3714872,116.22,-0.00369988,117.1754,117.1865,117.466895,-0.011582209,-0.013045018,-0.005668406
AAPL,-1.40E-06,40290.51515,2659174,115.021,7.82E-05,115.67695,115.7597,116.62847,-0.008365539,-0.008388066,-0.007689675
AAPL,-6.73E-05,39027.57353,2653875,115.615,-0.004627427,115.0118,114.62012,115.33156,-0.004693431,-0.004304654,-0.004853398
AAPL,5.10E-05,35907.68116,2477630,115.81,0.002676798,115.5893,114.87114,114.72664,0.007429753,0.01465886,0.004608346
AAPL,-0.000126743,54043.34247,3945164,112.36,-0.005526878,113.66785,115.13656,115.225435,-0.012817169,-0.022642678,-0.005829138
AAPL,-0.000547805,48447.06329,3827318,114.37,-0.0347119,113.37735,112.5609,114.09892,0.005311908,0.023838118,-0.004416037
AAPL,6.49E-05,54300.48571,3801034,108.931,0.001450459,110.04345,110.73996,113.07616,-0.014824599,-0.019308116,-0.011140102
AAPL,-8.01E-05,49933.14103,3894785,109.17,-0.004396812,109.3182,108.89796,111.208765,-0.012376256,-0.0085278,-0.021098337
AAPL,3.61E-05,51316.67089,4054017,109.66,0.004377166,109.03165,108.31416,108.73997,0.013327323,0.020293376,0.006083136
AAPL,1.85E-05,50143.74359,3911212,113.985,0.008115103,114.2977,112.47452,110.06938,0.005616036,0.022605298,0.022845727
AAPL,3.26E-05,66659.4359,5199436,118.02,0.007964752,117.96835,116.32758,113.7585,0.008227631,0.018132587,0.024181402
AAPL,2.95E-05,105484.5063,8333276,118.27,0.002874778,117.45925,118.11532,117.150685,0.009544587,0.005641267,0.009257479
AAPL,-0.00040629,126554.7215,9997823,120.44,-0.033543673,120.14765,119.3777,118.458955,-0.016204645,0.00021411,0.005011778
AAPL,3.73E-05,57347.47436,4473103,115.55,0.003807875,115.2516,116.09392,118.73888,0.011659708,0.0054387,-0.008465172
AAPL,0.000248461,63873.64557,5046018,117.2,0.020477816,117.3991,116.93548,117.359145,0.015242025,0.019247537,-0.000263848
AAPL,-1.12E-05,39926.29487,3114251,119.61,-0.003176992,119.53345,119.35656,117.79091,-0.004144865,-0.001092022,0.009723586
AAPL,-3.69E-06,51406.70667,3855503,119.42,0.000628036,119.5037,119.21278,119.12197,-0.006150019,-0.005165218,0.000561106
AAPL,-8.73E-05,57600.41667,3456025,120.53,-0.004480212,118.76875,118.59702,119.18881,0.01035205,0.014344205,0.002233767
AAPL,-4.17E-05,30238.32051,2358589,119.53,-0.001003932,119.72335,119.96144,119.43807,0.002036779,0.00201098,0.002953958
AAPL,-4.77E-05,29373.21795,2291111,118.61,-0.005058595,118.9631,119.58522,119.85142,0.000778813,-0.002341594,-0.002203562
AAPL,4.99E-05,38512.62025,3042497,117.7,0.010025489,117.86645,118.61728,119.399785,0.005884202,-0.003760666,-0.006569987
AAPL,-0.00012305,34760.21795,2711297,118.64,-0.011041807,118.64595,118.48508,118.567205,-0.00758728,-0.004494237,-0.003746356
AAPL,-0.000339247,98804.32051,7706737,117.18,-0.028417819,117.46555,117.62382,118.051995,-0.028496014,-0.026078221,-0.010240191
AAPL,0.000146444,51151.66667,3989830,113.97,0.010529087,114.15945,114.17848,116.23572,0.010408687,0.008453432,-0.010746739
